model,split,num_examples,sum_accuracy,avg_token_accuracy,avg_sum_margin,avg_token_margin,avg_chosen_sum_logp,avg_rejected_sum_logp,avg_chosen_token_logp,avg_rejected_token_logp,model_path,data_path
acdpo,eval_easy,1000,0.349,0.577,-65.45492176628113,0.19513657893240452,-213.18210346984864,-147.7271817035675,-2.6825657037496566,-2.877702282682061,./results/acdpo/final_model,./data/eval_easy.jsonl
acdpo,eval_hard,1000,0.516,0.523,4.396896830320358,0.047228202745318415,-166.14485287332533,-170.5417497036457,-2.586514798089862,-2.6337430008351803,./results/acdpo/final_model,./data/eval_hard.jsonl
acdpo,eval_all,2000,0.4325,0.55,-30.529012467980383,0.12118239083886147,-189.663478171587,-159.1344657036066,-2.634540250919759,-2.755722641758621,./results/acdpo/final_model,./data/eval_all.jsonl
baseline_r64,eval_easy,1000,0.352,0.582,-64.79683887791633,0.2003677038550377,-212.26598536777496,-147.46914648985862,-2.6803978365063665,-2.8807655403614043,./results/baseline_r64/final_model,./data/eval_easy.jsonl
baseline_r64,eval_hard,1000,0.519,0.518,4.454277636170387,0.05268264739960432,-165.61919775915146,-170.07347539532185,-2.5944562803655864,-2.6471389277651904,./results/baseline_r64/final_model,./data/eval_hard.jsonl
baseline_r64,eval_all,2000,0.4355,0.55,-30.171280620872974,0.12652517562732102,-188.94259156346322,-158.77131094259025,-2.6374270584359767,-2.7639522340632974,./results/baseline_r64/final_model,./data/eval_all.jsonl
